name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Surat,India",2024-08-24,27.7,25.2,26.6,31.9,25.2,28.8,24.5,88.2,19.9,100,79.17,rain,0,0,37.1,22.7,245.3,1005,100,16,29.7,2.7,2,30,2024-08-24T06:20:05,2024-08-24T19:01:38,0.66,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,remote
"Surat,India",2024-08-25,26.3,24.3,25.3,26.3,24.3,25.3,23.5,90,33.8,100,91.67,rain,0,0,43.9,28.1,262,1003.5,99.9,14.3,20.5,1.8,1,10,2024-08-25T06:20:22,2024-08-25T19:00:48,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
"Surat,India",2024-08-26,25.9,24.9,25.3,25.9,24.9,25.3,23.6,90,40.8,100,100,rain,0,0,51.8,31,245.8,1001.3,100,11.6,5.9,0.4,0,10,2024-08-26T06:20:39,2024-08-26T18:59:57,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
"Surat,India",2024-08-27,26.9,25.3,26,30,25.3,26.1,23.7,87.5,14.8,100,100,rain,0,0,48.2,32.4,218.4,1001.6,100,14.9,50.5,4.3,3,10,2024-08-27T06:20:56,2024-08-27T18:59:06,0.76,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
"Surat,India",2024-08-28,29.5,26,27.2,34.8,26,29.4,24.4,84.6,15.6,96.8,95.83,rain,0,0,44.3,28.4,209.4,1003.5,89.4,18.8,231.3,20.1,9,30,2024-08-28T06:21:12,2024-08-28T18:58:14,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Surat,India",2024-08-29,30.1,25.9,27.6,36.1,25.9,30.7,24.4,82.9,6.8,93.5,58.33,rain,0,0,34.6,24.5,220.7,1004,66.7,21.1,289.8,25.2,9,30,2024-08-29T06:21:29,2024-08-29T18:57:21,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Surat,India",2024-08-30,30.3,26.1,28,35.7,26.1,31.5,24.6,82.2,3,83.9,20.83,rain,0,0,37.1,22.7,224.9,1005.3,41.3,23,263.1,23,9,30,2024-08-30T06:21:45,2024-08-30T18:56:29,0.87,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,
"Surat,India",2024-08-31,29,26.3,27.3,34.1,26.3,29.8,24.6,85.4,3.9,90.3,25,rain,0,0,31,19.1,218.2,1005,86.4,22,137.9,12.1,5,30,2024-08-31T06:22:01,2024-08-31T18:55:35,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Surat,India",2024-09-01,29.4,25.9,27.5,34.3,25.9,30.2,24.4,83.5,2.8,90.3,20.83,rain,0,0,28.4,16.9,227.4,1004.8,94.8,22,219.9,19.4,7,30,2024-09-01T06:22:16,2024-09-01T18:54:42,0.94,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Surat,India",2024-09-02,30,26.3,27.7,35.3,26.3,30.8,24.7,83.9,4,93.5,25,rain,0,0,30.6,18.1,218,1004.4,81.2,22.5,231,19.9,8,30,2024-09-02T06:22:32,2024-09-02T18:53:47,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
"Surat,India",2024-09-03,29.5,25.9,27.2,35,25.9,29.5,24.8,87.3,21.8,93.5,33.33,rain,0,0,35.3,21,220.5,1003.7,97.7,16.5,169.9,14.7,6,30,2024-09-03T06:22:47,2024-09-03T18:52:53,0,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Surat,India",2024-09-04,27.2,25.7,26.2,30.7,25.7,26.7,24.5,90.7,27.2,93.5,33.33,rain,0,0,37.4,22.7,222.1,1002.9,94.7,12.3,52.5,4.2,2,10,2024-09-04T06:23:03,2024-09-04T18:51:58,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
"Surat,India",2024-09-05,29.3,25.4,26.9,34.2,25.4,28.8,24.5,87,12.1,93.5,33.33,rain,0,0,32.8,19.1,222.2,1002.8,91.6,18.2,172.4,14.7,8,10,2024-09-05T06:23:18,2024-09-05T18:51:03,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
"Surat,India",2024-09-06,29.7,25.6,27.4,35.8,25.6,30.1,24.9,86.7,14.9,93.5,33.33,rain,0,0,28.4,18.4,228.6,1002.6,98.1,16.8,236,20.9,8,30,2024-09-06T06:23:33,2024-09-06T18:50:07,0.11,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
"Surat,India",2024-09-07,30.2,25.9,27.6,35.7,25.9,30.7,24.7,84.2,11.5,83.9,33.33,rain,0,0,29.5,18,223.8,1002.7,84.3,17.3,245.6,21.3,9,10,2024-09-07T06:23:48,2024-09-07T18:49:11,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
